Date,Cancelled_A,Cancelled_B,Cancelled_C,Cancelled_D
2004-01-04,569.0,1000.0,696.0,2.0
2004-01-11,1637.0,1877.0,318.0,0.0
2004-01-18,1305.0,1196.0,395.0,2.0
2004-01-25,1083.0,1191.0,271.0,0.0
2004-02-01,1864.0,3660.0,750.0,5.0
2004-02-08,1724.0,1264.0,820.0,2.0
2004-02-15,1171.0,448.0,251.0,2.0
2004-02-22,952.0,130.0,234.0,0.0
2004-02-29,1123.0,882.0,259.0,9.0
2004-03-07,1011.0,1068.0,702.0,4.0
2004-03-14,843.0,118.0,97.0,0.0
2004-03-21,791.0,1017.0,483.0,0.0
2004-03-28,696.0,109.0,143.0,0.0
2004-04-04,759.0,199.0,175.0,0.0
2004-04-11,670.0,140.0,97.0,0.0
2004-04-18,683.0,219.0,210.0,0.0
2004-04-25,704.0,155.0,89.0,2.0
2004-05-02,867.0,303.0,175.0,0.0
2004-05-09,906.0,206.0,140.0,0.0
2004-05-16,952.0,1293.0,786.0,7.0
2004-05-23,1028.0,416.0,1540.0,2.0
2004-05-30,834.0,666.0,766.0,0.0
2004-06-06,860.0,491.0,316.0,4.0
2004-06-13,1103.0,473.0,571.0,0.0
2004-06-20,1335.0,391.0,730.0,2.0
2004-06-27,1183.0,371.0,480.0,4.0
2004-07-04,1042.0,204.0,414.0,0.0
2004-07-11,1011.0,221.0,553.0,0.0
2004-07-18,1238.0,521.0,1314.0,1.0
2004-07-25,1106.0,394.0,801.0,0.0
2004-08-01,1474.0,592.0,599.0,0.0
2004-08-08,1226.0,188.0,236.0,0.0
2004-08-15,1000.0,1788.0,790.0,2.0
2004-08-22,960.0,438.0,280.0,0.0
2004-08-29,1067.0,379.0,571.0,0.0
2004-09-05,1821.0,4126.0,291.0,36.0
2004-09-12,781.0,1229.0,327.0,0.0
2004-09-19,1213.0,2201.0,924.0,0.0
2004-09-26,1259.0,2171.0,158.0,2.0
2004-10-03,1151.0,921.0,612.0,0.0
2004-10-10,912.0,275.0,245.0,2.0
2004-10-17,719.0,79.0,61.0,0.0
2004-10-24,1144.0,457.0,395.0,0.0
2004-10-31,1339.0,369.0,201.0,8.0
2004-11-07,1291.0,274.0,423.0,0.0
2004-11-14,942.0,298.0,301.0,0.0
2004-11-21,963.0,473.0,91.0,8.0
2004-11-28,599.0,706.0,653.0,2.0
2004-12-05,911.0,144.0,323.0,4.0
2004-12-12,1203.0,929.0,902.0,2.0
2004-12-19,927.0,991.0,165.0,1.0
2004-12-26,3839.0,4470.0,392.0,0.0
2005-01-02,1805.0,558.0,247.0,0.0
2005-01-09,1404.0,2320.0,744.0,2.0
2005-01-16,1539.0,1768.0,761.0,0.0
2005-01-23,1798.0,7138.0,575.0,0.0
2005-01-30,1703.0,4364.0,209.0,1.0
2005-02-06,1207.0,417.0,379.0,0.0
2005-02-13,935.0,516.0,430.0,0.0
2005-02-20,1029.0,642.0,409.0,0.0
2005-02-27,1165.0,1017.0,558.0,0.0
2005-03-06,1129.0,1386.0,309.0,0.0
2005-03-13,1317.0,1510.0,326.0,0.0
2005-03-20,911.0,184.0,273.0,0.0
2005-03-27,1226.0,420.0,578.0,66.0
2005-04-03,1726.0,733.0,756.0,2.0
2005-04-10,1072.0,1030.0,99.0,1.0
2005-04-17,780.0,299.0,93.0,0.0
2005-04-24,939.0,338.0,192.0,0.0
2005-05-01,828.0,303.0,145.0,4.0
2005-05-08,911.0,175.0,83.0,0.0
2005-05-15,956.0,278.0,299.0,0.0
2005-05-22,908.0,402.0,299.0,0.0
2005-05-29,761.0,76.0,251.0,0.0
2005-06-05,812.0,415.0,446.0,0.0
2005-06-12,1479.0,942.0,987.0,1.0
2005-06-19,1118.0,221.0,219.0,0.0
2005-06-26,1068.0,226.0,246.0,1.0
2005-07-03,1375.0,730.0,833.0,0.0
2005-07-10,1156.0,1487.0,418.0,0.0
2005-07-17,1368.0,1155.0,1395.0,0.0
2005-07-24,1545.0,675.0,773.0,0.0
2005-07-31,1616.0,454.0,970.0,3.0
2005-08-07,1513.0,375.0,221.0,0.0
2005-08-14,1773.0,723.0,825.0,3.0
2005-08-21,1750.0,579.0,710.0,0.0
2005-08-28,1284.0,1005.0,171.0,0.0
2005-09-04,1181.0,2235.0,666.0,0.0
2005-09-11,975.0,468.0,184.0,0.0
2005-09-18,982.0,403.0,288.0,2.0
2005-09-25,1883.0,3113.0,436.0,0.0
2005-10-02,1276.0,96.0,244.0,0.0
2005-10-09,989.0,293.0,321.0,2.0
2005-10-16,735.0,650.0,1235.0,0.0
2005-10-23,677.0,205.0,145.0,0.0
2005-10-30,1066.0,2516.0,697.0,2.0
2005-11-06,753.0,499.0,93.0,0.0
2005-11-13,624.0,99.0,183.0,2.0
2005-11-20,899.0,544.0,499.0,0.0
2005-11-27,598.0,355.0,251.0,0.0
2005-12-04,772.0,377.0,513.0,0.0
2005-12-11,1195.0,2880.0,406.0,0.0
2005-12-18,1072.0,1371.0,473.0,0.0
2005-12-25,716.0,400.0,162.0,0.0
2006-01-01,811.0,339.0,294.0,0.0
2006-01-08,1240.0,541.0,734.0,0.0
2006-01-15,893.0,750.0,559.0,0.0
2006-01-22,850.0,940.0,502.0,0.0
2006-01-29,978.0,471.0,267.0,0.0
2006-02-05,1009.0,634.0,275.0,0.0
2006-02-12,965.0,3935.0,180.0,0.0
2006-02-19,1021.0,1446.0,646.0,0.0
2006-02-26,769.0,422.0,204.0,78.0
2006-03-05,1019.0,644.0,243.0,0.0
2006-03-12,935.0,417.0,214.0,13.0
2006-03-19,911.0,686.0,490.0,0.0
2006-03-26,827.0,197.0,219.0,0.0
2006-04-02,1037.0,193.0,508.0,0.0
2006-04-09,1170.0,308.0,523.0,0.0
2006-04-16,870.0,238.0,252.0,0.0
2006-04-23,793.0,204.0,239.0,32.0
2006-04-30,761.0,209.0,528.0,0.0
2006-05-07,916.0,151.0,111.0,0.0
2006-05-14,882.0,189.0,735.0,0.0
2006-05-21,739.0,201.0,338.0,0.0
2006-05-28,691.0,298.0,554.0,0.0
2006-06-04,1086.0,733.0,963.0,0.0
2006-06-11,981.0,170.0,264.0,0.0
2006-06-18,1186.0,327.0,145.0,0.0
2006-06-25,1590.0,973.0,976.0,0.0
2006-07-02,1260.0,348.0,600.0,2.0
2006-07-09,912.0,442.0,507.0,0.0
2006-07-16,1278.0,243.0,349.0,2.0
2006-07-23,1593.0,670.0,1335.0,0.0
2006-07-30,1347.0,436.0,1151.0,0.0
2006-08-06,1260.0,254.0,433.0,1.0
2006-08-13,1350.0,372.0,478.0,2.0
2006-08-20,896.0,70.0,84.0,2.0
2006-08-27,1159.0,314.0,761.0,0.0
2006-09-03,1579.0,1368.0,467.0,0.0
2006-09-10,1041.0,101.0,216.0,0.0
2006-09-17,1233.0,671.0,1371.0,0.0
2006-09-24,1346.0,671.0,701.0,2.0
2006-10-01,1498.0,180.0,263.0,0.0
2006-10-08,940.0,629.0,995.0,0.0
2006-10-15,1092.0,819.0,621.0,0.0
2006-10-22,1216.0,960.0,664.0,0.0
2006-10-29,1170.0,711.0,908.0,0.0
2006-11-05,1052.0,57.0,121.0,1.0
2006-11-12,1049.0,454.0,879.0,2.0
2006-11-19,1160.0,852.0,945.0,0.0
2006-11-26,409.0,204.0,95.0,1.0
2006-12-03,1190.0,3792.0,1034.0,16.0
2006-12-10,1041.0,299.0,664.0,0.0
2006-12-17,936.0,1453.0,1175.0,0.0
2006-12-24,885.0,4152.0,514.0,1.0
2006-12-31,1445.0,2051.0,190.0,2.0
2007-01-07,1278.0,627.0,345.0,0.0
2007-01-14,995.0,3423.0,438.0,0.0
2007-01-21,1610.0,3528.0,819.0,0.0
2007-01-28,1142.0,405.0,209.0,0.0
2007-02-04,1569.0,1514.0,132.0,0.0
2007-02-11,1749.0,1174.0,374.0,0.0
2007-02-18,2083.0,8447.0,982.0,2.0
2007-02-25,2119.0,4228.0,339.0,0.0
2007-03-04,1925.0,2236.0,1004.0,0.0
2007-03-11,1270.0,307.0,373.0,0.0
2007-03-18,1247.0,4922.0,328.0,0.0
2007-03-25,1017.0,494.0,1038.0,0.0
2007-04-01,1142.0,1084.0,443.0,0.0
2007-04-08,1222.0,454.0,634.0,13.0
2007-04-15,1291.0,1456.0,944.0,0.0
2007-04-22,960.0,381.0,428.0,16.0
2007-04-29,829.0,1091.0,1025.0,0.0
2007-05-06,1016.0,335.0,166.0,0.0
2007-05-13,782.0,377.0,187.0,0.0
2007-05-20,770.0,348.0,618.0,0.0
2007-05-27,582.0,425.0,384.0,0.0
2007-06-03,875.0,443.0,696.0,0.0
2007-06-10,1492.0,849.0,1384.0,0.0
2007-06-17,1697.0,675.0,994.0,0.0
2007-06-24,1670.0,547.0,918.0,0.0
2007-07-01,2677.0,1939.0,1967.0,2.0
2007-07-08,1015.0,525.0,435.0,1.0
2007-07-15,1278.0,702.0,1161.0,1.0
2007-07-22,1506.0,849.0,884.0,0.0
2007-07-29,1626.0,798.0,1128.0,0.0
2007-08-05,1556.0,337.0,593.0,0.0
2007-08-12,1468.0,454.0,875.0,0.0
2007-08-19,1563.0,381.0,691.0,4.0
2007-08-26,1774.0,860.0,1357.0,0.0
2007-09-02,1091.0,213.0,288.0,0.0
2007-09-09,862.0,187.0,190.0,0.0
2007-09-16,1037.0,661.0,431.0,0.0
2007-09-23,1134.0,67.0,93.0,0.0
2007-09-30,967.0,128.0,558.0,0.0
2007-10-07,944.0,157.0,61.0,0.0
2007-10-14,804.0,315.0,602.0,0.0
2007-10-21,1082.0,830.0,442.0,0.0
2007-10-28,913.0,340.0,336.0,0.0
2007-11-04,761.0,275.0,103.0,0.0
2007-11-11,879.0,150.0,236.0,0.0
2007-11-18,842.0,241.0,370.0,0.0
2007-11-25,562.0,352.0,501.0,0.0
2007-12-02,1219.0,1700.0,516.0,0.0
2007-12-09,1451.0,1692.0,868.0,0.0
2007-12-16,1531.0,5302.0,798.0,0.0
2007-12-23,1479.0,1568.0,746.0,0.0
2007-12-30,2186.0,926.0,495.0,0.0
2008-01-06,2064.0,1313.0,595.0,0.0
