Date,Delays
1988-01-10,32488
1988-01-17,54347
1988-01-24,39450
1988-01-31,41965
1988-02-07,27257
1988-02-14,42633
1988-02-21,46005
1988-02-28,35373
1988-03-06,19683
1988-03-13,31615
1988-03-20,31715
1988-03-27,24817
1988-04-03,33055
1988-04-10,32631
1988-04-17,27240
1988-04-24,24076
1988-05-01,27161
1988-05-08,20104
1988-05-15,25131
1988-05-22,24607
1988-05-29,38390
1988-06-05,21786
1988-06-12,22593
1988-06-19,21428
1988-06-26,22522
1988-07-03,23340
1988-07-10,21262
1988-07-17,21837
1988-07-24,34004
1988-07-31,31736
1988-08-07,33756
1988-08-14,29664
1988-08-21,28747
1988-08-28,25399
1988-09-04,20985
1988-09-11,15099
1988-09-18,15572
1988-09-25,24438
1988-10-02,17970
1988-10-09,25635
1988-10-16,20726
1988-10-23,23400
1988-10-30,28288
1988-11-06,24359
1988-11-13,32395
1988-11-20,26540
1988-11-27,42622
1988-12-04,30394
1988-12-11,17912
1988-12-18,24002
1988-12-25,32656
1989-01-01,55170
1989-01-08,50288
1989-01-15,51041
1989-01-22,33520
1989-01-29,19571
1989-02-05,28590
1989-02-12,46879
1989-02-19,31047
1989-02-26,44281
1989-03-05,34348
1989-03-12,55659
1989-03-19,34465
1989-03-26,38596
1989-04-02,30016
1989-04-09,40381
1989-04-16,29930
1989-04-23,20105
1989-04-30,15548
1989-05-07,23757
1989-05-14,28423
1989-05-21,28024
1989-05-28,29980
1989-06-04,26646
1989-06-11,31373
1989-06-18,40092
1989-06-25,42083
1989-07-02,44371
1989-07-09,32425
1989-07-16,29896
1989-07-23,29678
1989-07-30,40824
1989-08-06,38469
1989-08-13,35172
1989-08-20,41493
1989-08-27,43103
1989-09-03,32564
1989-09-10,25608
1989-09-17,27798
1989-09-24,32590
1989-10-01,34260
1989-10-08,26738
1989-10-15,23028
1989-10-22,24534
1989-10-29,50849
1989-11-05,20342
1989-11-12,26060
1989-11-19,31342
1989-11-26,34816
1989-12-03,39889
1989-12-10,22889
1989-12-17,32334
1989-12-24,40532
1989-12-31,67511
1990-01-07,55714
1990-01-14,35788
1990-01-21,27734
1990-01-28,40242
1990-02-04,28377
1990-02-11,37540
1990-02-18,25267
1990-02-25,51261
1990-03-04,44751
1990-03-11,27856
1990-03-18,45737
1990-03-25,36753
1990-04-01,25172
1990-04-08,40338
1990-04-15,24654
1990-04-22,22747
1990-04-29,25006
1990-05-06,28668
1990-05-13,25214
1990-05-20,28883
1990-05-27,35423
1990-06-03,20607
1990-06-10,26566
1990-06-17,25761
1990-06-24,27420
1990-07-01,31711
1990-07-08,34401
1990-07-15,18203
1990-07-22,33646
1990-07-29,37228
1990-08-05,24972
1990-08-12,34997
1990-08-19,32246
1990-08-26,36029
1990-09-02,33701
1990-09-09,19417
1990-09-16,23878
1990-09-23,28622
1990-09-30,21112
1990-10-07,18498
1990-10-14,26595
1990-10-21,32210
1990-10-28,29657
1990-11-04,20449
1990-11-11,18500
1990-11-18,26991
1990-11-25,17352
1990-12-02,21271
1990-12-09,28338
1990-12-16,19809
1990-12-23,29769
1990-12-30,76404
1991-01-06,63307
1991-01-13,52949
1991-01-20,49598
1991-01-27,30880
1991-02-03,19119
1991-02-10,24202
1991-02-17,26471
1991-02-24,30239
1991-03-03,22395
1991-03-10,34066
1991-03-17,19945
1991-03-24,31426
1991-03-31,27156
1991-04-07,29207
1991-04-14,17700
1991-04-21,31134
1991-04-28,24853
1991-05-05,24147
1991-05-12,27540
1991-05-19,17079
1991-05-26,29279
1991-06-02,19425
1991-06-09,25842
1991-06-16,16792
1991-06-23,22657
1991-06-30,25267
1991-07-07,20455
1991-07-14,25793
1991-07-21,17387
1991-07-28,20737
1991-08-04,29874
1991-08-11,21910
1991-08-18,27369
1991-08-25,28100
1991-09-01,22596
1991-09-08,18072
1991-09-15,14653
1991-09-22,14705
1991-09-29,20534
1991-10-06,17087
1991-10-13,16918
1991-10-20,13267
1991-10-27,18204
1991-11-03,35734
1991-11-10,34107
1991-11-17,23272
1991-11-24,21094
1991-12-01,24401
1991-12-08,27797
1991-12-15,26365
1991-12-22,22684
1991-12-29,47003
1992-01-05,20269
1992-01-12,24974
1992-01-19,21813
1992-01-26,32516
1992-02-02,23339
1992-02-09,16125
1992-02-16,18861
1992-02-23,32380
1992-03-01,25913
1992-03-08,18072
1992-03-15,32931
1992-03-22,23091
1992-03-29,33191
1992-04-05,22681
1992-04-12,14823
1992-04-19,16455
1992-04-26,24621
1992-05-03,18349
1992-05-10,16677
1992-05-17,17315
1992-05-24,19430
1992-05-31,17674
1992-06-07,19945
1992-06-14,23582
1992-06-21,24811
1992-06-28,29146
1992-07-05,32678
1992-07-12,29294
1992-07-19,24953
1992-07-26,33456
1992-08-02,29447
1992-08-09,32276
1992-08-16,25532
1992-08-23,39169
1992-08-30,23079
1992-09-06,28352
1992-09-13,21117
1992-09-20,26767
1992-09-27,20502
1992-10-04,17392
1992-10-11,12427
1992-10-18,19206
1992-10-25,22825
1992-11-01,12148
1992-11-08,21799
1992-11-15,20471
1992-11-22,19957
1992-11-29,29001
1992-12-06,25820
1992-12-13,25837
1992-12-20,35299
1992-12-27,42093
1993-01-03,37964
1993-01-10,52239
1993-01-17,37488
1993-01-24,37424
1993-01-31,27670
1993-02-07,13561
1993-02-14,19435
1993-02-21,34085
1993-02-28,45686
1993-03-07,34179
1993-03-14,27573
1993-03-21,39117
1993-03-28,41471
1993-04-04,36219
1993-04-11,34975
1993-04-18,19920
1993-04-25,32551
1993-05-02,18557
1993-05-09,15777
1993-05-16,22046
1993-05-23,17186
1993-05-30,15531
1993-06-06,16220
1993-06-13,19367
1993-06-20,29028
1993-06-27,23135
1993-07-04,25070
1993-07-11,18092
1993-07-18,19291
1993-07-25,22726
1993-08-01,19025
1993-08-08,20105
1993-08-15,25230
1993-08-22,28071
1993-08-29,20564
1993-09-05,20309
1993-09-12,21627
1993-09-19,21893
1993-09-26,22301
1993-10-03,24989
1993-10-10,13894
1993-10-17,15941
1993-10-24,30958
1993-10-31,30071
1993-11-07,24206
