Date,Delay_CarrierDelay,Delay_LateAircraftDelay,Delay_NASDelay,Delay_SecurityDelay,Delay_WeatherDelay
2004-01-04,5995,6489,7540,101,1293
2004-01-11,8973,8941,11097,137,1728
2004-01-18,6020,7068,11183,63,1547
2004-01-25,5694,5666,9775,50,1050
2004-02-01,6885,8120,13437,57,2406
2004-02-08,7182,9395,14598,63,2093
2004-02-15,6497,7613,10807,81,1351
2004-02-22,5916,6715,9318,98,659
2004-02-29,6466,9313,11542,82,1649
2004-03-07,6304,8390,10744,63,1121
2004-03-14,5525,6426,8411,42,604
2004-03-21,6508,9459,10551,62,1150
2004-03-28,5388,5991,8534,73,322
2004-04-04,5919,7056,10252,78,637
2004-04-11,4705,5005,6425,40,462
2004-04-18,6092,7264,9779,68,1013
2004-04-25,5313,6476,8637,62,830
2004-05-02,5648,6807,9824,47,1073
2004-05-09,4597,5605,7287,21,770
2004-05-16,6673,9263,12167,37,1689
2004-05-23,6978,9477,13758,102,1652
2004-05-30,6434,7880,12343,31,1576
2004-06-06,6594,7724,8442,53,1307
2004-06-13,8155,10435,13703,71,2424
2004-06-20,9375,13509,15108,137,2160
2004-06-27,8914,13699,14298,102,2693
2004-07-04,7752,10123,10096,88,2011
2004-07-11,7905,9036,10324,88,1599
2004-07-18,8925,12121,12021,84,1718
2004-07-25,8029,10110,9576,91,1240
2004-08-01,9568,13475,11457,89,1978
2004-08-08,8068,9823,8909,93,1235
2004-08-15,7226,9030,9475,83,1208
2004-08-22,6952,9902,10161,102,1871
2004-08-29,6116,7811,10490,43,1647
2004-09-05,4986,4770,5817,186,789
2004-09-12,5025,5025,6565,53,1006
2004-09-19,5870,6533,8818,70,985
2004-09-26,4399,3408,3997,63,210
2004-10-03,5601,5816,7284,61,881
2004-10-10,5449,6545,6495,72,992
2004-10-17,6028,6303,7832,79,485
2004-10-24,7443,11195,13695,51,2202
2004-10-31,6016,7793,10405,70,1361
2004-11-07,5798,6663,8671,56,877
2004-11-14,5895,6128,7389,101,898
2004-11-21,6338,6869,8495,108,859
2004-11-28,8071,12971,12848,56,2951
2004-12-05,7129,8161,9457,80,744
2004-12-12,6476,9808,13978,57,1822
2004-12-19,7818,7432,9479,132,1388
2004-12-26,15036,19446,13008,280,2956
2005-01-02,13668,15607,9437,357,1472
2005-01-09,10868,14779,14898,135,2468
2005-01-16,8125,9995,12042,60,1729
2005-01-23,7881,8794,11487,35,2244
2005-01-30,7179,7983,8331,59,1420
2005-02-06,5648,4802,7847,29,953
2005-02-13,6448,6666,9827,64,956
2005-02-20,7874,9410,11860,58,1028
2005-02-27,9179,12822,12392,49,1662
2005-03-06,6779,7503,10026,51,949
2005-03-13,8004,9503,11437,44,1592
2005-03-20,8260,9370,10286,104,999
2005-03-27,9199,11771,11180,230,1255
2005-04-03,9627,11238,10672,52,1653
2005-04-10,5828,5424,5996,48,525
2005-04-17,5132,4775,5833,41,443
2005-04-24,5978,6388,7905,40,845
2005-05-01,5504,7110,9114,56,1108
2005-05-08,5228,5631,6529,30,553
2005-05-15,6274,6711,7668,40,830
2005-05-22,6680,7677,7430,48,1019
2005-05-29,6112,7536,8075,45,1157
2005-06-05,6492,8956,9415,35,1709
2005-06-12,9745,12318,13609,43,2075
2005-06-19,7669,8563,8775,48,957
2005-06-26,8401,8880,8174,111,1032
2005-07-03,11385,15999,13368,104,2130
2005-07-10,8115,10912,10496,83,2049
2005-07-17,10672,17226,15651,109,3372
2005-07-24,10394,12976,11790,81,1823
2005-07-31,10216,12845,11560,81,1649
2005-08-07,9517,11845,10722,112,1840
2005-08-14,10214,14062,13506,79,2259
2005-08-21,10290,12207,11029,86,1898
2005-08-28,7438,6846,6657,167,803
2005-09-04,6087,5472,6427,36,867
2005-09-11,5539,4334,5109,37,311
2005-09-18,6575,7113,9042,43,806
2005-09-25,7069,7806,8039,75,1160
2005-10-02,6111,6244,7081,31,776
2005-10-09,6758,7651,8873,37,1146
2005-10-16,6560,8913,10017,79,1588
2005-10-23,6622,7221,7354,30,439
2005-10-30,5620,5375,6582,36,430
2005-11-06,5575,5353,7273,25,759
2005-11-13,5743,5494,7217,41,507
2005-11-20,7827,7863,9847,41,891
2005-11-27,7237,8219,10864,24,1318
2005-12-04,9328,11873,13578,64,1696
2005-12-11,8709,10811,13033,72,1950
2005-12-18,10567,12218,11817,104,1481
2005-12-25,11636,10701,9077,131,1071
2006-01-01,11974,12863,10567,197,1282
2006-01-08,10671,11328,9801,94,1660
2006-01-15,6583,7065,8034,33,1125
2006-01-22,7127,7713,9932,33,1190
2006-01-29,5962,5755,6935,38,711
2006-02-05,6092,6968,9667,33,922
2006-02-12,6269,5694,7073,57,879
2006-02-19,9973,13658,12213,107,1836
2006-02-26,8491,12600,13079,210,1184
2006-03-05,7420,8618,8993,105,749
2006-03-12,8812,11655,10959,117,1123
2006-03-19,9124,12296,11607,91,1583
2006-03-26,8912,11151,9577,96,1032
2006-04-02,8085,9519,9129,154,819
2006-04-09,9499,13679,12182,61,1378
2006-04-16,6278,7304,7106,43,440
2006-04-23,7616,10078,8909,197,1172
2006-04-30,6481,9308,7667,51,738
2006-05-07,6588,8675,7925,47,872
2006-05-14,7401,10659,10797,29,1276
2006-05-21,7805,10279,8723,52,917
2006-05-28,7893,9656,8338,62,983
2006-06-04,8202,10893,10095,47,1925
2006-06-11,8387,9047,7801,64,993
2006-06-18,8845,10535,7944,66,1263
2006-06-25,12318,17104,12311,76,2755
2006-07-02,12654,16194,11503,96,1968
2006-07-09,8165,10136,8560,49,1606
2006-07-16,10062,11405,8823,52,1233
2006-07-23,12153,15711,10759,80,2381
2006-07-30,11195,14018,9579,65,1577
2006-08-06,10534,11616,8825,77,1188
2006-08-13,10745,13761,8881,1266,1852
2006-08-20,8116,7972,7015,144,979
2006-08-27,8384,11714,10245,88,1588
2006-09-03,8453,10681,10955,101,1446
2006-09-10,7216,8243,9524,34,1057
2006-09-17,8707,13193,14166,90,2201
2006-09-24,8314,10852,12304,100,1325
2006-10-01,7356,6679,7769,73,624
2006-10-08,7768,9523,10747,55,1038
2006-10-15,8838,12888,12884,81,1402
2006-10-22,10114,14601,15493,104,1821
2006-10-29,8985,12802,14203,73,1393
2006-11-05,7453,7108,8268,52,578
2006-11-12,7548,9423,10860,87,1009
2006-11-19,8969,11926,11862,80,1441
2006-11-26,6606,7045,7996,38,636
2006-12-03,9534,12918,12735,70,1761
2006-12-10,6840,7719,9111,41,511
2006-12-17,8782,12154,11128,82,1361
2006-12-24,13853,18036,11327,212,1756
2006-12-31,13046,15444,10018,233,1421
2007-01-07,12651,14205,10644,188,1266
2007-01-14,7954,9390,10147,62,1195
2007-01-21,9942,15751,14153,40,2835
2007-01-28,8031,8876,9523,24,1000
2007-02-04,9034,11529,13332,31,1690
2007-02-11,9884,11025,9456,79,1299
2007-02-18,13788,18533,12632,130,2712
2007-02-25,11575,14246,10389,117,1977
2007-03-04,12484,16157,13031,107,1627
2007-03-11,9731,10413,8852,52,750
