Year,Month,Delay
2000,6,8505084
2000,7,7575759
2000,8,7389248
2000,9,4685043
2001,6,12215872
2001,7,10774252
2001,8,12280374
2001,9,6484841
2002,6,4899647
2002,7,4662332
2002,8,3844797
2002,9,2325602
2003,6,4475793
2003,7,5995727
2003,8,6097139
2003,9,3374607
2004,6,8599261
2004,7,7935498
2004,8,7037005
2004,9,3928027
2005,6,8165749
2005,7,10657054
2005,8,7939942
2005,9,4318398
2006,6,9214413
2006,7,9293403
2006,8,8001172
2006,9,7301462
2007,6,11831465
2007,7,11213531
2007,8,10457450
2007,9,5555575
2008,6,10214207
2008,7,9085303
2008,8,7392998
2008,9,3820448
