Year,Month,Delay
2000,1,9144288
2000,2,9510967
2000,3,9914179
2000,12,15945723
2001,1,10307110
2001,2,10878246
2001,3,11062962
2001,12,6905854
2002,1,6482633
2002,2,4676889
2002,3,7922109
2002,12,8660650
2003,1,7472161
2003,2,9041348
2003,3,7940254
2003,12,11389235
2004,1,12381213
2004,2,10353883
2004,3,9746171
2004,12,16466951
2005,1,14849880
2005,2,10714839
2005,3,13551868
2005,12,15549829
2006,1,11745808
2006,2,11750134
2006,3,14023005
2006,12,17479399
2007,1,15350375
2007,2,17425018
2007,3,17131268
2007,12,21852108
2008,1,16421401
2008,2,17627716
2008,3,17551054
2008,12,20617499
